company,job,location,money
上海艺赛旗软件股份有限公司,Python高级开发工程师,南京-雨花台区,1-1.5万/月
上海凯京信达科技集团有限公司,python研发工程师,上海-浦东新区,0.8-1万/月
深圳市和讯华谷信息技术有限公司,Python开发工程师,深圳-南山区,1.2-2.4万/月
上海物景智能科技有限公司,Web工程师（Python）,上海-浦东新区,1-2万/月
有因信息科技（上海）有限公司,高级Python开发工程师,上海-闵行区,1.5-2万/月
北京新网医讯技术有限公司,Python开发工程师,北京-西城区,0.8-1万/月
楼盘网,Python开发工程师,长沙,6-9千/月
上海江村市隐智能科技有限公司,Python开发工程师,上海-浦东新区,15-25万/年
南京富士通南大软件技术有限公司,Python开发工程师,南京,10-15万/年
上海锐承通讯技术有限公司,Python工程师（web后端）,上海-浦东新区,10-18万/年
魔视智能科技（上海）有限公司,Python开发工程师,上海-浦东新区,1-2.5万/月
四川海德智和科技有限公司,Python开发工程师,成都-锦江区,0.8-1万/月
广州玄泰信息科技股份有限公司,Python 工程师,广州-天河区,0.9-1.3万/月
网信集团有限公司,Python高级开发工程师,成都,1.5-2万/月
广州晨灏科技有限公司,Python开发工程师,广州-天河区,1.5-4万/月
北京江民新科技术有限公司,Python后端研发工程师,北京-海淀区,1-2万/月
上海睿畜电子科技有限公司,Python 后端工程师,上海-嘉定区,0.9-1.5万/月
华信永益（北京）信息技术有限公司,Python开发工程师（爬虫）,上海-浦东新区,1-1.7万/月
优购科技有限公司,高级研发工程师（Python方向）,深圳-南山区,1.5-2万/月
北京思睿网信科技有限公司,python架构师,北京-海淀区,1.5-2万/月
CMGE中手游,sz-python开发,深圳-福田区,1.5-2.5万/月
广州旭升源科技有限公司,Python开发工程师,济南,6-8千/月
湖南纳米娱乐网络科技有限公司,Python开发,长沙-岳麓区,1-1.5万/月
深圳市泽林软件技术有限公司,python讲师,深圳-南山区,1.5-2.5万/月
蓝盾信息安全技术股份有限公司,Python工程师,广州-天河区,5-7千/月
深圳奇屏科技有限公司,Python 研发工程师,深圳-福田区,0.8-1.5万/月
甲骨文（中国）软件系统有限公司,SaaS Cloud Sr. Test Developer(Java/Python/Bash),上海-杨浦区,
苏州云极客信息技术有限公司,Python开发工程师,苏州-工业园区,1-1.5万/月
广州楠天网络科技有限公司,Python开发工程师,广州-天河区,0.8-1.5万/月
上海进馨网络科技有限公司（纳米盒）,Python开发工程师,上海-浦东新区,1-2.5万/月
厦门中控智慧信息技术有限公司,Python开发工程师,厦门,5-8千/月
广东星舆科技有限公司,高级Python开发工程师（GIS方向）,广州-天河区,1.5-2万/月
北京学会学习教育科技有限公司,Python高级开发工程师,长沙,0.8-1.2万/月
北京神黄科技股份有限公司,Python开发工程师,北京-东城区,1-2万/月
重庆满四山科技有限公司,Python开发工程师,重庆-涪陵区,6-8千/月
北京天行网安信息技术有限责任公司,python开发工程师,北京-海淀区,1-1.5万/月
安吉康尔（深圳）科技有限公司,Python后端工程师,深圳-龙华新区,1.5-3万/月
广州市电牛医药科技有限公司,Python开发工程师,广州-番禺区,8-10万/年
上海飞田通信股份有限公司,Python高级开发工程师（团队负责人）,上海,1.5-2万/月
深圳乾立亨基金管理有限公司,数据分析工程师（python）,深圳-福田区,1.2-2万/月
上海复深蓝软件股份有限公司,Python开发工程师（编号03）,上海-徐汇区,1.2-2.4万/月
上海速强信息技术有限公司,Python开发工程师,深圳,1-1.5万/月
杭州百阳教育科技有限公司,python讲师,杭州-西湖区,1.5-2万/月
深圳市云之梦科技有限公司,后台开发工程师（C++，Python，go）,深圳-南山区,1-1.5万/月
上海哈杜科技有限公司,Python高级工程师,上海-浦东新区,2-3万/月
北京东方红海科技发展有限公司,python平台开发工程师,北京,1-1.6万/月
美皇管理资讯(重庆)有限公司-APL ...,Python开发工程师,重庆,0.8-1万/月
重庆新致金服信息技术有限公司,Python开发工程师,重庆-渝北区,6-8千/月
上海云拿智能科技有限公司,Python开发工程师,上海-闵行区,1.5-2万/月
晶测光电（深圳）有限的公司,Python开发工程师,深圳-光明新区,0.8-1万/月
江苏普非信息科技有限公司,python 爬虫工程师（优秀应届生可培养）,南京-浦口区,4.5-6千/月
上海鸿鹊信息科技有限公司,Python工程师,上海,1.5-2万/月
善林（上海）金融信息服务有限公司,Python开发工程师(区块链),上海,1.2-1.5万/月
苏州雪松湾教育科技有限公司,Python高级开发工程师,苏州-工业园区,1.2-1.8万/月
武汉朱雀闻天科技有限公司,Python开发工程师,武汉,15-20万/年
重庆格泰尚恒网络科技有限公司,Python开发工程师,重庆-渝北区,0.8-1.5万/月
上海测吧信息技术有限公司,Python高级开发工程师,武汉-东湖新技...,6-8千/月
广州智品网络科技有限公司,Python或GO开发,广州-天河区,1-2万/月
上海傲梦网络科技有限公司,python课程设计,上海-长宁区,1-2万/月
信必优(深圳)信息技术有限公司,系统集成工程师（Java/python）,广州,1.5-2万/月
北大青鸟武汉宏鹏（鲁广南校区）,python讲师,武汉-洪山区,8-25万/年
成都比目鱼文化传媒有限公司,Python开发工程师,成都-武侯区,1-1.5万/月
